Date,Open,High,Low,Close,Adj Close,Volume
1998-09-01,24.179958,27.374187,22.325247,25.828592,12.941194,106327200
1998-10-01,25.553820,29.812790,21.329197,29.812790,14.937443,135945400
1998-11-01,29.778444,30.877533,28.370235,30.259295,15.415414,78181700
1998-12-01,30.362335,32.903980,28.782394,32.251396,16.430283,91366000
1999-01-01,32.182701,36.544712,31.530117,33.762642,17.200167,135658900
1999-02-01,33.487869,33.934376,30.980572,32.594860,16.833200,86152800
1999-03-01,32.285740,33.316135,30.362335,31.152306,16.088207,110586400
1999-04-01,31.324038,37.300335,30.774494,35.136501,18.145803,133746400
1999-05-01,35.136501,37.094254,30.705801,31.392731,16.426796,113685800
1999-06-01,31.667503,31.839235,28.919781,31.014919,16.229103,114284300
1999-07-01,31.598810,32.217049,26.481176,26.652910,13.946602,131786700
1999-08-01,27.271147,28.748049,25.416433,28.645008,15.228095,112450100
1999-09-01,28.645008,29.434978,26.687256,27.614613,14.680328,91998000
1999-10-01,28.095465,31.324038,27.271147,30.156256,16.031504,91951100
1999-11-01,30.224949,30.843187,27.511572,27.751999,15.008623,94748800
1999-12-01,27.751999,29.641058,26.652910,29.297592,15.844505,108381700
2000-01-01,28.988474,30.327988,26.000326,27.339840,14.785728,134590100
2000-02-01,27.271147,27.786345,22.634365,22.874790,12.600572,128895800
2000-03-01,23.012177,25.656860,22.119167,25.244701,13.906042,191075200
2000-04-01,25.691206,31.461424,25.656860,30.087563,16.573730,178547400
2000-05-01,30.190603,30.190603,26.240751,26.687256,14.947402,126079200
2000-06-01,26.584217,28.335890,23.355642,24.597080,13.776704,132100600
2000-07-01,24.668583,27.814720,24.668583,26.634920,14.918092,109981900
2000-08-01,26.670671,30.000000,23.812500,24.187500,13.801978,182676600
2000-09-01,24.437500,27.125000,23.875000,25.500000,14.550921,183741000
2000-10-01,25.437500,27.000000,23.375000,26.125000,14.907564,109476000
2000-11-01,25.687500,26.750000,22.562500,22.750000,13.135867,95879500
2000-12-01,23.625000,24.812500,21.687500,23.437500,13.532831,116791300
2001-01-01,23.812500,28.740000,23.750000,28.190001,16.276924,126191800
2001-02-01,27.920000,29.000000,26.799999,27.809999,16.231035,90557300
2001-03-01,27.809999,31.370001,27.020000,28.120001,16.411968,131030200
2001-04-01,27.799999,31.420000,27.290001,29.480000,17.205713,113711700
